date,total_market_value,cash_balance,total_asset_value,shares,nav,strategy_yield,strategy_yield_daily,strategy_drawdown,profit_loss,benchmark_price,benchmark_yield,benchmark_yield_daily,benchmark_drawdown
2024-12-16,12166376.0,-1407.2527538202703,12164968.74724618,10000000.0,1.2164968747246179,0.21649687472461787,-0.0020991677221804876,-0.18466278211526876,-1,3911.8416,0.14082261015325992,-0.005425430735347847,-0.08088506082169844
2024-12-17,11911703.999999998,-1407.2527538202703,11910296.747246178,10000000.0,1.1910296747246178,0.19102967472461785,-0.020934866771248475,-0.20173175814532607,-1,3922.0334,0.14379487668832613,0.002605371342234264,-0.078490425098944
2024-12-18,12166376.0,-1407.2527538202703,12164968.74724618,10000000.0,1.2164968747246179,0.21649687472461787,0.021382506700253615,-0.18466278211526876,1,3941.89,0.14958571909891072,0.005062832968225184,-0.07382497604259985
2024-12-19,12166376.0,-1407.2527538202703,12164968.74724618,10000000.0,1.2164968747246179,0.21649687472461787,0.0,-0.18466278211526876,0,3945.4635,0.15062787008922252,0.0009065448300180634,-0.07298535686293939
2024-12-20,0.0,12266699.199452823,12266699.199452823,10000000.0,1.2266699199452824,0.2266699199452824,0.00836257406988196,-0.1778444642387762,1,3927.7441,0.14546030600422744,-0.004491081973005184,-0.07714865561544404
2024-12-23,11871552.0,-2250.2224121373147,11869301.777587863,10000000.0,1.1869301777587862,0.18693017775878618,-0.032396443036826796,-0.20447937922047654,-1,3933.5718,0.1471598563963472,0.0014837270075716003,-0.07577939615180684
2024-12-24,12916992.0,-2250.2224121373147,12914741.777587863,10000000.0,1.2914741777587864,0.29147417775878637,0.08807931751925356,-0.13441046586972316,1,3983.6882,0.16177545899627988,0.012740685196085622,-0.06400419238644084
2024-12-25,12638208.0,-2250.2224121373147,12635957.777587863,10000000.0,1.2635957777587863,0.2635957777587863,-0.02158649431797392,-0.15309550942992411,-1,3985.6291,0.16234148973843632,0.0004872118254637403,-0.06354816416038711
2024-12-26,12835680.0,-2250.2224121373147,12833429.777587863,10000000.0,1.2833429777587864,0.28334297775878636,0.015627782513665308,-0.13986027024144843,1,3987.4801,0.16288130266219936,0.00046441852805623185,-0.06311325857719097
2024-12-27,12522048.0,-2250.2224121373147,12519797.777587863,10000000.0,1.2519797777587862,0.2519797777587862,-0.024438673482884858,-0.16088094424667454,-1,3981.0307,0.16100044395311386,-0.0016174124605663476,-0.06462859086690764
2024-12-30,11987712.0,-2250.2224121373147,11985461.777587863,10000000.0,1.1985461777587862,0.19854617775878625,-0.04267928360284969,-0.19669394440372612,-1,3999.0549,0.16625689781615494,0.004527520975912136,-0.06039367719178901
2024-12-31,11209440.0,-2250.2224121373147,11207189.777587863,10000000.0,1.1207189777587863,0.12071897775878626,-0.06493466955568826,-0.2488563576759535,-1,3934.9109,0.14755038232082618,-0.016039789801335358,-0.07546476510563838
